dim1,dim2,subject_id
4.200503,-2.531157,1
-2.1992548,0.48036325,2
1.683647,1.487096,3
1.5692497,-1.0974585,4
1.8138571,0.22980292,5
3.6824155,-2.4104357,6
-3.8162122,-2.044097,7
2.9153297,-1.7747583,8
-3.3590662,-1.4586035,9
-2.1565428,2.8150983,10
3.9519892,-2.424044,11
4.1606026,0.73320854,12
-0.558832,2.4522824,13
-0.7598107,2.7655919,14
2.2656565,-1.9937881,15
2.7696526,-2.0817397,16
3.4827633,-2.688856,17
-2.0120351,2.0049353,18
-3.7418427,0.725964,19
-3.0765932,-2.219156,20
-2.7286534,2.256501,21
-2.1234746,2.4975927,22
-0.61723274,2.9972925,23
4.687701,0.7985053,24
-2.1241124,-0.4668035,25
-3.995849,-1.9992285,26
-3.3075073,-1.6519647,27
-0.21605185,-1.8804389,28
2.1094697,-1.1345005,29
-4.2553105,-2.2245257,30
-3.6496944,-1.4390872,31
4.007536,-2.0179105,32
-0.22116487,-2.1645215,33
-2.6876495,-0.5714411,34
1.6280619,-2.1984339,35
4.39478,0.77413124,36
3.9801226,-2.461109,37
0.96528345,-2.2316031,38
-0.38728827,0.37289053,39
-1.6974593,3.2595403,40
2.187093,-1.9516798,41
-3.0302272,1.9091425,42
-3.7915454,0.91486,43
-1.1718678,-2.0142305,44
4.3717136,0.3492759,45
-1.2656233,2.5881665,46
-1.2640493,-0.5025617,47
3.7333798,0.6613029,48
4.217143,0.7609447,49
0.42552277,1.3548347,50
-3.9932418,1.4636168,51
-4.2911143,0.9322253,52
-0.30073586,2.09222,53
4.727651,0.34461898,54
2.2855039,1.4385415,55
-2.7875218,-1.6760226,56
1.9771924,-1.0750864,57
-1.4543351,2.0922656,58
4.173243,0.29803956,59
3.4143546,0.6037153,60
-3.180016,-2.3195462,61
-0.66673553,3.3952048,62
-0.6433127,3.1067114,63
2.3917992,-0.5958675,64
3.9879794,0.031646933,65
-2.0220027,-0.058784995,66
0.7130794,1.7350683,67
-1.3540577,-1.5149804,68
-0.46043557,1.8407465,69
3.5197055,-2.4339552,70
-3.472118,-2.0801907,71
0.58598346,-2.605654,72
-3.3988314,-0.7456115,73
1.4666559,-2.4991531,74
2.1047778,-0.3663036,75
-1.4908015,2.3961365,76
-0.23394631,0.68696123,77
-0.74330336,1.2412716,78
2.3931093,-0.9948144,79
0.6996931,1.6704267,80
-0.7070678,2.9192133,81
0.009383814,-2.5829425,82
-0.8042141,3.6297443,83
-3.8152404,-2.1192584,84
-2.1406975,0.8390527,85
-0.6496373,3.2719145,86
